question,answer,source_file
What was Vietnam's GDP growth rate in 2024?,Vietnam's GDP increased by 7.09% in 2024.,vietnam_macroeconomic_2024.md
How fast did fourth-quarter GDP grow year on year?,Fourth-quarter GDP rose by 7.55% year on year.,vietnam_macroeconomic_2024.md
Which broad sector grew by 8.24%?,Industry and construction grew by 8.24%.,vietnam_macroeconomic_2024.md
How much did services expand in 2024?,Services increased by 7.38%.,vietnam_macroeconomic_2024.md
What was the growth rate of agriculture forestry and fisheries?,Agriculture forestry and fisheries expanded by 3.27%.,vietnam_macroeconomic_2024.md
What was average CPI inflation in 2024?,Average CPI increased by 3.63%.,vietnam_macroeconomic_2024.md
What was Vietnam's core inflation rate?,Core inflation averaged 2.71%.,vietnam_macroeconomic_2024.md
How fast did nominal retail sales grow?,Retail sales of consumer goods and services grew by 9.0% in nominal terms.,vietnam_macroeconomic_2024.md
Why should nominal and real retail growth be distinguished?,Price adjustment makes real purchasing-power growth lower than nominal sales growth.,vietnam_macroeconomic_2024.md
What was the approximate total merchandise trade value?,Total merchandise trade was approximately USD 786.3 billion.,vietnam_macroeconomic_2024.md
What was the value of Vietnam's exports in 2024?,Exports were about USD 405.5 billion.,vietnam_macroeconomic_2024.md
What was the value of Vietnam's imports in 2024?,Imports were about USD 380.8 billion.,vietnam_macroeconomic_2024.md
How large was the merchandise trade surplus?,The merchandise trade surplus was roughly USD 24.8 billion.,vietnam_macroeconomic_2024.md
Which country was Vietnam's largest export market?,The United States was the largest export market.,vietnam_macroeconomic_2024.md
Which country was Vietnam's largest import market?,China was the largest import market.,vietnam_macroeconomic_2024.md
How much realized FDI did Vietnam receive?,Realized FDI was estimated at USD 25.35 billion.,vietnam_macroeconomic_2024.md
What was total registered FDI in 2024?,Total registered FDI was approximately USD 38.23 billion.,vietnam_macroeconomic_2024.md
What was the working-age unemployment rate?,The working-age unemployment rate was close to 2.24%.,vietnam_macroeconomic_2024.md
What objectives did the SBV balance in 2024?,The SBV balanced credit availability exchange-rate stability banking safety and inflation control.,sbv_monetary_policy_2024.md
Did the SBV change its key policy rates during 2024?,No. Key policy rates remained unchanged after reductions in 2023.,sbv_monetary_policy_2024.md
What was the refinancing rate in 2024?,The refinancing rate remained 4.5% per year.,sbv_monetary_policy_2024.md
What was the discount rate in 2024?,The discount rate remained 3.0% per year.,sbv_monetary_policy_2024.md
What was the overnight electronic interbank lending rate?,It remained 5.0% per year.,sbv_monetary_policy_2024.md
What credit growth orientation was announced for 2024?,The system-wide credit growth orientation was about 15%.,sbv_monetary_policy_2024.md
What was actual credit growth by year-end?,Actual credit growth reached approximately 15.08%.,sbv_monetary_policy_2024.md
Where did the SBV aim to direct lending?,It aimed to direct lending toward production business activity and priority sectors.,sbv_monetary_policy_2024.md
Did credit support remove bank lending standards?,No. Lending decisions still had to meet credit standards and risk-management requirements.,sbv_monetary_policy_2024.md
Why did the Vietnamese dong face depreciation pressure?,The US dollar strengthened while international interest-rate conditions remained restrictive.,sbv_monetary_policy_2024.md
Did the SBV promise a fixed exchange rate?,No. It aimed to smooth excessive volatility rather than promise a fixed rate.,sbv_monetary_policy_2024.md
Which tools helped manage short-term banking liquidity?,Open-market operations and bill issuance helped manage liquidity.,sbv_monetary_policy_2024.md
How can foreign-exchange intervention affect liquidity?,Selling foreign exchange can absorb domestic currency liquidity.,sbv_monetary_policy_2024.md
What banking-stability issues received policy attention?,Weak-bank restructuring bad debts and governance received attention.,sbv_monetary_policy_2024.md
Does system-wide credit growth mean equal credit access?,No. Borrowers and sectors do not receive credit equally.,sbv_monetary_policy_2024.md
